month,onset,offset,onset_500,offset_500,object,FemaleAdult,MaleAdult,Child,Electronic,Overlap,FirstPass,subj
6,21950790,21951860,21950290,21952360,dump+truck,NA,NA,NA,NA,NA,NA,465
6,24885630,24886470,24885130,24886970,new+diaper,NA,NA,NA,NA,NA,NA,465
6,25069630,25070670,25069130,25071170,diape,NA,NA,NA,NA,NA,NA,465
6,25578470,25580240,25577970,25580740,Piglet,NA,NA,NA,NA,NA,NA,465
6,31305130,31306460,31304630,31306960,pants,NA,NA,NA,NA,NA,NA,465
6,32173550,32174350,32173050,32174850,toes,NA,NA,NA,NA,NA,NA,465
6,32915170,32916170,32914670,32916670,Eeyore,NA,NA,NA,NA,NA,NA,465
6,32924790,32926100,32924290,32926600,Eeyore,NA,NA,NA,NA,NA,NA,465
6,34948070,34950730,34947570,34951230,cat,NA,NA,NA,NA,NA,NA,465
6,36244510,36246280,36244010,36246780,water+bottle,NA,NA,NA,NA,NA,NA,465
6,36928750,36931980,36928250,36932480,bottle,NA,NA,NA,NA,NA,NA,465
6,38529170,38530890,38528670,38531390,toes,NA,NA,NA,NA,NA,NA,465
7,474600,476620,474100,477120,babies,NA,NA,NA,NA,NA,NA,465
7,1299870,1308570,1299370,1309070,door,NA,NA,NA,NA,NA,NA,465
7,1299870,1308570,1299370,1309070,cow,NA,NA,NA,NA,NA,NA,465
7,1484390,1484990,1483890,1485490,farm,NA,NA,NA,NA,NA,NA,465
7,1544400,1546570,1543900,1547070,vest,NA,NA,NA,NA,NA,NA,465
7,1548390,1549410,1547890,1549910,whales,NA,NA,NA,NA,NA,NA,465
7,1636520,1637970,1636020,1638470,books,NA,NA,NA,NA,NA,NA,465
7,1636520,1637970,1636020,1638470,basket,NA,NA,NA,NA,NA,NA,465
7,1896870,1897510,1896370,1898010,Big+bad+bunny,NA,NA,NA,NA,NA,NA,465
7,1902890,1904180,1902390,1904680,Big+bad+bunny,NA,NA,NA,NA,NA,NA,465
7,1926730,1927730,1926230,1928230,Big+bad+bunny,NA,NA,NA,NA,NA,NA,465
7,1931010,1931810,1930510,1932310,money,NA,NA,NA,NA,NA,NA,465
7,1938550,1939600,1938050,1940100,money,NA,NA,NA,NA,NA,NA,465
7,1987600,1988670,1987100,1989170,money,NA,NA,NA,NA,NA,NA,465
7,1997270,1999610,1996770,2000110,counter,NA,NA,NA,NA,NA,NA,465
7,1997270,1999610,1996770,2000110,Wise+old+bunny,NA,NA,NA,NA,NA,NA,465
7,2025160,2026460,2024660,2026960,bag,NA,NA,NA,NA,NA,NA,465
7,2040790,2042330,2040290,2042830,Big+bad+bunny,NA,NA,NA,NA,NA,NA,465
7,2040790,2042330,2040290,2042830,legs,NA,NA,NA,NA,NA,NA,465
7,2064540,2067140,2064040,2067640,Big+bad+bunny,NA,NA,NA,NA,NA,NA,465
7,2275310,2276470,2274810,2276970,zebras,NA,NA,NA,NA,NA,NA,465
7,2275310,2276470,2274810,2276970,grass,NA,NA,NA,NA,NA,NA,465
7,2356680,2357320,2356180,2357820,tigers,NA,NA,NA,NA,NA,NA,465
7,3004220,3005930,3003720,3006430,teeth,NA,NA,NA,NA,NA,NA,465
7,3124290,3125550,3123790,3126050,vest,NA,NA,NA,NA,NA,NA,465
7,3394360,3395550,3393860,3396050,monkeys,NA,NA,NA,NA,NA,NA,465
7,3410790,3411650,3410290,3412150,monkeys,NA,NA,NA,NA,NA,NA,465
7,3412990,3413870,3412490,3414370,monkeys,NA,NA,NA,NA,NA,NA,465
7,3417150,3418640,3416650,3419140,monkeys,NA,NA,NA,NA,NA,NA,465
7,3429170,3431170,3428670,3431670,monkeys,NA,NA,NA,NA,NA,NA,465
